models,model_rounds,validation_accuracy,validation_lower_bound,validation_upper_bound,validation_total,validation_correct,test_accuracy,test_lower_bound,test_upper_bound,test_total,test_correct,validation_TP,test_TP,validation_FP,test_FP,validation_TN,test_TN,validation_FN,test_FN
"titanic_medical-anthropic3710,titanic_medical-geminipro10,titanic_medical-openai45p10","5,1,7",0.8,0.7081573109113719,0.8733444478980441,100,80,0.6813186813186813,0.5753296964119654,0.7751261475452155,91,62,55,45,12,21,25,17,8,8
"titanic_medical-gemini2510,titanic_medical-geminipro10,titanic_medical-openai45p10","2,1,7",0.79,0.6970846206494593,0.865056304294671,100,79,0.6923076923076923,0.5868294430937198,0.7848581618108883,91,63,57,46,15,21,22,17,6,7
"titanic_medical-openai45p10,titanic_medical-openaio1,titanic_medical-phi","7,3,2",0.79,0.6970846206494593,0.865056304294671,100,79,0.6813186813186813,0.5753296964119654,0.7751261475452155,91,62,50,37,8,13,29,25,13,16
"titanic_medical-anthropic37,titanic_medical-geminipro10,titanic_medical-openai45p10","6,1,7",0.79,0.6970846206494593,0.865056304294671,100,79,0.6813186813186813,0.5753296964119654,0.7751261475452155,91,62,56,44,14,20,23,18,7,9
"titanic_medical-anthropic3710,titanic_medical-openai10o1,titanic_medical-openai45p10","5,4,7",0.79,0.6970846206494593,0.865056304294671,100,79,0.7802197802197802,0.6811796847423677,0.8602829853732746,91,71,53,46,11,13,26,25,10,7
"titanic_medical-openai45p10,titanic_medical-openaio1,titanic_medical-qwq","7,3,1",0.79,0.6970846206494593,0.865056304294671,100,79,0.7252747252747253,0.6216981102911925,0.813674004426187,91,66,47,37,5,9,32,29,16,16
"titanic_medical-geminipro10,titanic_medical-openai45,titanic_medical-openai45p10","1,3,7",0.79,0.6970846206494593,0.865056304294671,100,79,0.6703296703296703,0.5638886710787239,0.7653339092626367,91,61,51,41,9,18,28,20,12,12
"titanic_medical-openai10o1,titanic_medical-openai45p10,titanic_medical-phi","4,7,2",0.78,0.686080346213682,0.8566964232501855,100,78,0.7582417582417582,0.6571655985479521,0.8418701860640567,91,69,53,45,12,14,25,24,10,8
"titanic_medical-openai45,titanic_medical-openaio1,titanic_medical-phi","3,3,2",0.78,0.686080346213682,0.8566964232501855,100,78,0.6593406593406593,0.5525049123486402,0.7554830513779931,91,60,58,43,17,21,20,17,5,10
"titanic_medical-openai10o1,titanic_medical-openai45p10,titanic_medical-openailong","4,7,2",0.78,0.686080346213682,0.8566964232501855,100,78,0.7692307692307693,0.669133526414611,0.8511175085175618,91,70,53,47,12,15,25,23,10,6
"titanic_medical-openai4510,titanic_medical-openaio1,titanic_medical-qwq","4,3,1",0.78,0.686080346213682,0.8566964232501855,100,78,0.6923076923076923,0.5868294430937198,0.7848581618108883,91,63,49,37,8,12,29,26,14,16
"titanic_medical-gemini2510,titanic_medical-openai10o1,titanic_medical-openai45p10","2,4,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.7582417582417582,0.6571655985479521,0.8418701860640567,91,69,53,45,12,14,25,24,10,8
"titanic_medical-openai45,titanic_medical-openai45p10,titanic_medical-phi","3,7,2",0.78,0.686080346213682,0.8566964232501855,100,78,0.6263736263736264,0.5186848209212489,0.7255924755008125,91,57,58,42,17,23,20,15,5,11
"titanic_medical-geminipro10,titanic_medical-openai10,titanic_medical-openai45p10","1,2,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.6813186813186813,0.5753296964119654,0.7751261475452155,91,62,55,47,14,23,23,15,8,6
"titanic_medical-geminipro10,titanic_medical-openai10,titanic_medical-openaio1","1,2,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.6923076923076923,0.5868294430937198,0.7848581618108883,91,63,53,46,12,21,25,17,10,7
"titanic_medical-gemini25,titanic_medical-openai10o1,titanic_medical-openai45p10","7,4,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.7692307692307693,0.669133526414611,0.8511175085175618,91,70,51,46,10,14,27,24,12,7
"titanic_medical-geminipro10,titanic_medical-openai45,titanic_medical-openaio1","1,3,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.6923076923076923,0.5868294430937198,0.7848581618108883,91,63,50,41,9,16,28,22,13,12
"titanic_medical-anthropic37,titanic_medical-geminipro10,titanic_medical-openaio1","6,1,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.7032967032967034,0.5983895285569754,0.7945281687636013,91,64,53,45,12,19,25,19,10,8
"titanic_medical-anthropic3710,titanic_medical-gemini,titanic_medical-openaio1","5,9,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.6593406593406593,0.5525049123486402,0.7554830513779931,91,60,62,51,21,29,16,9,1,2
"titanic_medical-gemini10,titanic_medical-openai45,titanic_medical-openai45p10","8,3,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.6483516483516484,0.5411771127875069,0.7455750171474722,91,59,56,41,15,20,22,18,7,12
"titanic_medical-gemini2510,titanic_medical-openai45p10,titanic_medical-openaio1","2,7,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.6923076923076923,0.5868294430937198,0.7848581618108883,91,63,49,39,8,14,29,24,14,14
"titanic_medical-anthropic3710,titanic_medical-anthropic37low,titanic_medical-openai45p10","5,1,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.6813186813186813,0.5753296964119654,0.7751261475452155,91,62,58,42,17,18,20,20,5,11
"titanic_medical-openai10o1,titanic_medical-openai45,titanic_medical-openai45p10","4,3,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.7032967032967034,0.5983895285569754,0.7945281687636013,91,64,48,39,7,13,30,25,15,14
"titanic_medical-geminipro10,titanic_medical-llama,titanic_medical-openaio1","1,7,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.6703296703296703,0.5638886710787239,0.7653339092626367,91,61,55,46,14,23,23,15,8,7
"titanic_medical-geminipro10,titanic_medical-llama,titanic_medical-openai45p10","1,7,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.6703296703296703,0.5638886710787239,0.7653339092626367,91,61,58,47,17,24,20,14,5,6
"titanic_medical-anthropic37,titanic_medical-openai10o1,titanic_medical-openai45p10","6,4,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.7802197802197802,0.6811796847423677,0.8602829853732746,91,71,53,46,12,13,25,25,10,7
"titanic_medical-anthropic3710,titanic_medical-geminipro10,titanic_medical-openaio1","5,1,3",0.78,0.686080346213682,0.8566964232501855,100,78,0.7252747252747253,0.6216981102911925,0.813674004426187,91,66,52,46,11,18,26,20,11,7
"titanic_medical-anthropic3710,titanic_medical-openai4510,titanic_medical-openai45p10","5,4,7",0.78,0.686080346213682,0.8566964232501855,100,78,0.6593406593406593,0.5525049123486402,0.7554830513779931,91,60,52,44,11,22,26,16,11,9
