Task,Model,Run Name,Patience,Sampler,Accuracy,Accuracy Lower Bound,Neg Log Error,Rounds,Prompt Word Count,Reasoning Word Count,Cumulative Reasoning Words,Herdan Coefficient,Herdan R-squared,Zipf Coefficient,Zipf R-squared,Model Size,Data Points,logistic regression,decision trees,dummy
espionage,gemini-2.0-flash,gemini10.,3,10,0.8,0.7377736354103999,0.5813236459023695,3,83,103,197,0.5173684254565035,0.980187880290772,1.233145454838636,0.9566957860600164,40,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4o,openai10.,3,10,0.85,0.7928412963314493,0.6836968153185413,6,106,94,440,0.6130954781359981,0.9889777899317285,1.038424137910797,0.9623720456375819,200,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,o3,openaio310.,3,10,1.0,0.9817246596448638,1.7381345261084815,2,90,115,115,0.4396357731026711,0.869121230311008,0.6463385683001067,0.8459755479079712,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4.5-preview,openai4510.,3,10,0.8,0.7377736354103999,0.5813236459023695,5,60,51,228,0.5385482490413338,0.9662057364415313,1.069737236680421,0.9546265317876095,1800,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4o-mini,openailong.,3,3,0.55,0.4782493109935384,0.2825369687474021,2,96,66,66,0.5057474045483085,0.968077108869208,1.1542752737604904,0.9478301948541764,100,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gemini-2.5-pro-exp-03-25,gemini25.,3,3,0.95,0.9099724622986486,1.0456246278665873,3,49,164,309,0.5294653008186375,0.9672291668264869,1.0791956346017795,0.9281287843629279,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gemini-2.0-pro-exp,geminipro10.,3,10,0.4,0.3315462637356395,0.17492864491713786,1,2,0,0,0.5149669374309087,0.9558633732240903,0.9947595199254667,0.9265982530567136,1500,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,claude-3-7-sonnet-20250219,anthropic37.,3,3,0.8,0.7377736354103999,0.5813236459023695,2,114,169,169,0.5530317532663174,0.9820357946008169,1.1248910667403353,0.9483669052750947,200,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,claude-3-7-sonnet-20250219,anthropic3710.,3,10,0.9,0.8497872121322442,0.8232930935369303,4,170,180,482,0.5655452376495876,0.9806490045765781,1.07244548790903,0.9455183884993955,200,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4.1,openai4110.,3,10,0.9230769230769231,0.8793157746003387,0.9183494926996376,2,75,145,145,0.42194428673062756,0.8717409390131776,0.8278298354553388,0.8766654725331797,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gemini-2.0-flash,gemini.,3,3,0.4,0.3315462637356395,0.17492864491713786,1,2,0,0,0.4169266822588355,0.9049115157344481,0.9263899984770582,0.8839725764236789,40,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gemma3:27b,gemma.,3,3,0.75,0.6840371666701309,0.5003640003849499,5,165,127,548,0.5532806951509872,0.9780809883444196,1.097515654804471,0.9429446262056377,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4o,openai.,3,3,0.8,0.7377736354103999,0.5813236459023695,3,74,95,167,0.5636371136022792,0.9638593215448366,1.0234606908187618,0.9409451624808888,200,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gemini-2.0-pro-exp,geminipro.,3,3,0.8,0.7377736354103999,0.5813236459023695,4,98,162,493,0.5736148346954011,0.9833801582756706,1.0683319000261056,0.9440121008668522,1500,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,claude-3-5-haiku-20241022,anthropic.,3,3,0.8,0.7377736354103999,0.5813236459023695,3,162,102,205,0.5895680343959586,0.9737645613788992,0.9829181508231178,0.9484131030940093,20,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4.5-preview,openai45.,3,3,0.9,0.8497872121322442,0.8232930935369303,5,91,47,199,0.5399284581012407,0.9729032140060092,1.1323017331213197,0.9559636682815469,1800,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,o1,openai10o1.,3,3,0.95,0.9099724622986486,1.0456246278665873,2,83,37,37,0.47170209422788456,0.9488269415686619,1.0813048513657857,0.9150541812669841,300,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,o1,openaio1.,3,3,0.95,0.9099724622986486,1.0456246278665873,3,70,54,97,0.501156469679794,0.9543085103903319,1.1044296074108755,0.9260210096535999,300,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,gpt-4.1,openai41.,3,3,0.8666666666666667,0.8096908273166017,0.7205402787136154,2,72,126,126,0.37037918797256414,0.860200993553107,0.820525107473491,0.9083423685172083,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,claude-3-5-haiku-20241022,anthropic10.,3,10,0.25,0.19160716962258742,0.0923775468902007,1,2,0,0,0.5996825464838542,0.9683895569310085,0.924187547851177,0.9318941184282827,20,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
espionage,o3,openaio3.,3,3,0.8,0.7377736354103999,0.5813236459023695,7,149,210,1088,0.6588028782842026,0.9823362797925439,0.8931672668533739,0.9530725559665306,,200,0.7512672372279722,0.6830172859809177,0.31527813304054847
